user_input,response
me conta sobre a bienal do livro,"A Bienal do Livro e um grande festival cultural e literario que reune editoras, livrarias, autores e leitores para celebrar a leitura. No Brasil temos varias: Bienal de Sao Paulo, Bienal do Rio de Janeiro, Bienal Bahia (Salvador) e Bienal de Pernambuco (Recife). Sobre qual delas voce gostaria de saber mais?"
qual o endereco da FLOR - Feira Literaria do Orgulho e Resistencia?,"O endereco da FLOR - Feira Literaria do Orgulho e Resistencia e: Largo do Arouche, s/n - Republica, Sao Paulo (SP) - CEP 01219-010 (Largo do Arouche e adjacencias). Para informacoes de transporte e estacionamento, consulte www.feiraflor.com.br."
por que a Bienal do Livro SP e importante?,"A Bienal Internacional do Livro de Sao Paulo e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
quem ja participou da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco ja recebeu como convidados nomes como Djamila Ribeiro, Itamar Vieira Junior e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.bienaldolivrope.com.br."
quem ja foi convidado para a Feira do Livro POA?,"A Feira do Livro de Porto Alegre ja recebeu como convidados nomes como Itamar Vieira Junior, Djamila Ribeiro e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.feiradolivro.com.br."
vale a pena ir na Bienal Bahia?,"Com certeza! A Bienal do Livro Bahia e um dos maiores eventos literarios do Nordeste, reunindo autores, editoras e leitores em Salvador com forte identidade cultural baiana. Confira a programacao em www.bienaldolivrobahia.com.br e planeje sua visita."
quais escritores foram homenageados pela FLIP?,"A FLIP - Festa Literaria Internacional de Paraty ja prestou homenagem a grandes nomes da literatura, como Guimaraes Rosa, Hilda Hilst e Carlos Drummond de Andrade. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.flip.org.br."
a Flipocos e paga?,"Os precos dos ingressos da Flipocos - Festa Literaria de Pocos de Caldas variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flipocos.com.br."
qual o periodo da Festa Literaria POA?,"A Festa Literaria de Porto Alegre geralmente acontece em novembro. Para as datas exatas desta edicao, consulte festaliterariaportaalegre.com.br."
onde fica a FLOR?,A FLOR - Feira Literaria do Orgulho e Resistencia e realizada em Sao Paulo (SP).
o que e a FLOR - Feira Literaria do Orgulho e Resistencia?,"A FLOR - Feira Literaria do Orgulho e Resistencia e uma feira literaria dedicada a vozes LGBTQIA+, perifericas e de resistencia, celebrando a diversidade e o poder transformador da literatura. Acesse www.feiraflor.com.br para mais informacoes."
quais escritores costumam ir a Flipocos?,"A Flipocos - Festa Literaria de Pocos de Caldas ja recebeu como convidados nomes como Itamar Vieira Junior, Milton Hatoum e Djamila Ribeiro, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.flipocos.com.br."
o que e a Bienal Internacional do Livro de Sao Paulo?,"A Bienal Internacional do Livro de Sao Paulo e um dos maiores eventos literarios da America Latina, reunindo editoras, autores e leitores do mundo inteiro. Acesse www.bienaldolivro.com.br para mais informacoes."
as feiras literarias sao acessiveis para pessoas com deficiencia?,"As grandes feiras, como a Bienal do Livro SP e a FLIP, tem se preocupado cada vez mais com acessibilidade, oferecendo rampas, interpretes de Libras e materiais em Braille. Consulte os sites oficiais para detalhes de cada edicao."
quanto vale um dolar hoje?,"Isso foge do meu dominio! Sou especialista em feiras literarias do Brasil. Posso ajudar com informacoes sobre Bienal, FLIP, FLIC e outros eventos."
voce recomenda alguma feira para quem gosta de cronica?,"Para quem aprecia cronica, a Bienal do Livro SP costuma ter a maior variedade de titulos e lancamentos nesse estilo. A FLIP tambem tem mesas tematicas e debates sobre diferentes correntes literarias. Vale conferir a programacao antes de ir."
grata,"Fico feliz em ajudar! Se tiver mais duvidas sobre feiras literarias, e so perguntar."
boa tarde,"Ola! Sou o ChatLitera, seu guia sobre feiras literarias brasileiras. Posso ajudar com datas, locais, programacao, ingressos e muito mais. O que voce quer saber?"
por que a FLOR e importante?,"A FLOR - Feira Literaria do Orgulho e Resistencia e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
qual a importancia da FLOR?,"A FLOR - Feira Literaria do Orgulho e Resistencia e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
fala sobre a Festival Literario SC,"A Festival Literario Catarinense e um dos principais festivais do Sul do Brasil, celebrando a literatura catarinense e nacional com debates, lancamentos e oficinas. Acesse www.festivalliterariosc.com.br para mais informacoes."
precisa pagar para entrar na Feira Unesp?,"Os precos dos ingressos da Feira do Livro da Unesp variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.livraria.unesp.br."
quem ja participou da Bienal do Livro SP?,"A Bienal Internacional do Livro de Sao Paulo ja recebeu como convidados nomes como Ailton Krenak, Milton Hatoum e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.bienaldolivro.com.br."
por que a Bienal PE e importante?,"A Bienal Internacional do Livro de Pernambuco e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
me conta sobre a Flipocos - Festa Literaria de Pocos de Caldas,"A Flipocos - Festa Literaria de Pocos de Caldas e um festival literario encantador na cidade das aguas, com programacao intimista e diversificada para leitores de todas as idades. Acesse www.flipocos.com.br para mais informacoes."
qual a programacao da Bienal Rio?,"A Bienal do Rio de Janeiro costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em www.bienaldorio.com.br proximo ao evento."
como chegar na Festa Literaria POA?,"O endereco da Festa Literaria de Porto Alegre e: Usina do Gasometro - Av. Presidente Joao Goulart, 551 - Centro Historico, Porto Alegre (RS) - CEP 90010-310. Para informacoes de transporte e estacionamento, consulte festaliterariaportaalegre.com.br."
vale a pena ir na Feira do Livro POA?,"A Feira do Livro de Porto Alegre e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
quais sao as principais feiras literarias do Brasil?,"As principais feiras literarias do Brasil sao: Bienal Internacional do Livro de SP, Bienal do Rio, FLIP (Paraty), FLIC (Belo Horizonte), Festa Literaria POA, Feira do Livro de Porto Alegre, FLOR (Sao Paulo), Bienal Bahia, Bienal PE (Recife), Feira Unesp, Flipocos (Pocos de Caldas) e Festival Literario Catarinense. Cada uma tem sua identidade unica."
quem foi homenageado na Bienal Bahia?,"A Bienal do Livro Bahia ja prestou homenagem a grandes nomes da literatura, como Jorge Amado, Ariano Suassuna e Conceicao Evaristo. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.bienaldolivrobahia.com.br."
me diz autores que ja foram na Bienal Bahia,"A Bienal do Livro Bahia ja recebeu como convidados nomes como Itamar Vieira Junior, Milton Hatoum e Djamila Ribeiro, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.bienaldolivrobahia.com.br."
quem recebeu homenagem na Festa Literaria de Porto Alegre?,"A Festa Literaria de Porto Alegre ja prestou homenagem a grandes nomes da literatura, como Rubem Braga, Moacyr Scliar e Erico Verissimo. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em festaliterariaportaalegre.com.br."
tem como me informar sobre a Bienal Bahia?,"Claro! A Bienal do Livro Bahia acontece em outubro, em Salvador (BA) - Centro de Convencoes. Para mais detalhes, acesse www.bienaldolivrobahia.com.br."
quem sao os homenageados da Bienal Rio?,"A Bienal do Rio de Janeiro ja prestou homenagem a grandes nomes da literatura, como Machado de Assis, Clarice Lispector e Graciliano Ramos. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.bienaldorio.com.br."
quero saber tudo sobre a FLIP,"A FLIP - Festa Literaria Internacional de Paraty e um festival intimista e sofisticado realizado na historica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programacao. Ocorre em julho/agosto em Paraty (RJ). Mais informacoes em www.flip.org.br."
me conta sobre a Festival Literario Catarinense,"A Festival Literario Catarinense e um dos principais festivais do Sul do Brasil, celebrando a literatura catarinense e nacional com debates, lancamentos e oficinas. Acesse www.festivalliterariosc.com.br para mais informacoes."
como chegar na Bienal Rio?,"O endereco da Bienal do Rio de Janeiro e: Av. Salvador Allende, 6555 - Barra da Tijuca, Rio de Janeiro (RJ) - CEP 22783-127 (Riocentro, Pavilhao 3). Para informacoes de transporte e estacionamento, consulte www.bienaldorio.com.br."
tem bate-papo com autores na Feira do Livro POA?,"A Feira do Livro de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em www.feiradolivro.com.br proximo ao evento."
onde acontece a Bienal do Livro SP?,A Bienal Internacional do Livro de Sao Paulo e realizada em Sao Paulo (SP) - Pavilhao do Anhembi.
qual o resultado do jogo de ontem?,"Desculpe, meu foco sao as feiras literarias brasileiras! Posso ajudar com datas, autores, ingressos e programacao de eventos literarios."
quem ja participou da Festival Literario SC?,"A Festival Literario Catarinense ja recebeu como convidados nomes como Conceicao Evaristo, Djamila Ribeiro e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.festivalliterariosc.com.br."
qual o endereco completo da FLIP?,"O endereco da FLIP - Festa Literaria Internacional de Paraty e: Praca da Matriz, s/n - Centro Historico, Paraty (RJ) - CEP 23970-000 (Casa da Cultura de Paraty e espacos do centro historico). Para informacoes de transporte e estacionamento, consulte www.flip.org.br."
me conta sobre a Feira do Livro de Porto Alegre,"A Feira do Livro de Porto Alegre e a mais antiga feira literaria do Brasil, realizada ao ar livre na iconica Praca da Alfandega desde 1955. Acesse www.feiradolivro.com.br para mais informacoes."
qual o periodo da Feira do Livro POA?,"A Feira do Livro de Porto Alegre geralmente acontece em outubro/novembro. Para as datas exatas desta edicao, consulte www.feiradolivro.com.br."
quais autores ja foram convidados para a Flipocos?,"A Flipocos - Festa Literaria de Pocos de Caldas ja recebeu como convidados nomes como Conceicao Evaristo e Djamila Ribeiro, entre outros autores. Os convidados de cada nova edicao sao anunciados em www.flipocos.com.br."
qual a importancia da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
me da o endereco da Bienal do Livro SP,"O endereco da Bienal Internacional do Livro de Sao Paulo e: Av. Olavo Fontoura, 1209 - Santana, Sao Paulo (SP) - CEP 02012-021 (Pavilhao do Anhembi). Para informacoes de transporte e estacionamento, consulte www.bienaldolivro.com.br."
quais autores ja foram convidados para a FLIC?,"A FLIC - Festa Literaria de Belo Horizonte ja recebeu como convidados nomes como Ailton Krenak, Milton Hatoum e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.flicbh.com.br."
o que tem na Festa Literaria POA?,"A Festa Literaria de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em festaliterariaportaalegre.com.br proximo ao evento."
qual a data da Festival Literario SC?,"A Festival Literario Catarinense geralmente acontece em setembro. Para as datas exatas desta edicao, consulte www.festivalliterariosc.com.br."
onde fica a Bienal PE?,A Bienal Internacional do Livro de Pernambuco e realizada em Recife (PE) - Centro de Convencoes.
quando e a Bienal do Livro de Sao Paulo?,A Bienal Internacional do Livro de Sao Paulo geralmente acontece em julho. Consulte www.bienaldolivro.com.br para as datas exatas.
qual o local exato da Feira Unesp?,"O endereco da Feira do Livro da Unesp e: Rua Quirino de Andrade, 215 - Centro, Sao Paulo (SP) - CEP 01049-010 (Editora Unesp / Livraria da Unesp). Para informacoes de transporte e estacionamento, consulte www.livraria.unesp.br."
vale a pena ir na FLIP?,"Com certeza! A FLIP - Festa Literaria Internacional de Paraty e um festival intimista e sofisticado realizado na historica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programacao. Confira a programacao em www.flip.org.br e planeje sua visita."
quanto e o ticket da Bienal Bahia?,"Os precos dos ingressos da Bienal do Livro Bahia variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrobahia.com.br."
voce recomenda alguma feira para quem gosta de thriller?,"Para quem aprecia thriller, a Bienal do Livro SP costuma ter a maior variedade de titulos e lancamentos nesse estilo. A FLIP tambem tem mesas tematicas e debates sobre diferentes correntes literarias. Vale conferir a programacao antes de ir."
quais as datas da FLOR - Feira Literaria do Orgulho e Resistencia?,"A FLOR - Feira Literaria do Orgulho e Resistencia geralmente acontece em junho. Para as datas exatas desta edicao, consulte www.feiraflor.com.br."
quais as atividades da Flipocos?,"A Flipocos - Festa Literaria de Pocos de Caldas costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em www.flipocos.com.br proximo ao evento."
a Bienal Rio e em qual cidade?,A Bienal do Rio de Janeiro e realizada em Rio de Janeiro (RJ) - Riocentro.
a FLOR ja homenageou quais autores?,"A FLOR - Feira Literaria do Orgulho e Resistencia ja prestou homenagem a grandes nomes da literatura, como Cassandra Rios, Caio Fernando Abreu e Joao Silverio Trevisan. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.feiraflor.com.br."
quem recebeu homenagem na Feira do Livro de Porto Alegre?,"A Feira do Livro de Porto Alegre ja prestou homenagem a grandes nomes da literatura, como Josue Guimaraes, Erico Verissimo e Rubem Alves. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.feiradolivro.com.br."
qual o endereco da Bienal do Livro do Rio?,"O endereco da Bienal do Rio de Janeiro e: Av. Salvador Allende, 6555 - Barra da Tijuca, Rio de Janeiro (RJ) - CEP 22783-127 (Riocentro, Pavilhao 3). Para informacoes de transporte e estacionamento, consulte www.bienaldorio.com.br."
tem como me informar sobre a Bienal PE?,"Claro! A Bienal Internacional do Livro de Pernambuco acontece em outubro, em Recife (PE) - Centro de Convencoes. Para mais detalhes, acesse www.bienaldolivrope.com.br."
quais escritores ja estiveram na Bienal Rio?,"A Bienal do Rio de Janeiro ja recebeu como convidados nomes como Djamila Ribeiro, Conceicao Evaristo e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.bienaldorio.com.br."
qual o endereco da Flipocos?,"O endereco da Flipocos - Festa Literaria de Pocos de Caldas e: Thermas Antonio Carlos - Av. Francisco Salles, 544 - Centro, Pocos de Caldas (MG) - CEP 37701-366. Para informacoes de transporte e estacionamento, consulte www.flipocos.com.br."
qual o endereco da FLIC - Festa Literaria de Belo Horizonte?,"O endereco da FLIC - Festa Literaria de Belo Horizonte e: Praca da Liberdade, s/n - Funcionarios, Belo Horizonte (MG) - CEP 30140-010 (Circuito Liberdade). Para informacoes de transporte e estacionamento, consulte www.flicbh.com.br."
qual o preco do ingresso para a FLOR?,"Os precos dos ingressos da FLOR - Feira Literaria do Orgulho e Resistencia variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.feiraflor.com.br."
em que mes acontece a Bienal Rio?,"A Bienal do Rio de Janeiro geralmente acontece em setembro. Para as datas exatas desta edicao, consulte www.bienaldorio.com.br."
qual o local exato da Bienal do Livro SP?,"O endereco da Bienal Internacional do Livro de Sao Paulo e: Av. Olavo Fontoura, 1209 - Santana, Sao Paulo (SP) - CEP 02012-021 (Pavilhao do Anhembi). Para informacoes de transporte e estacionamento, consulte www.bienaldolivro.com.br."
quando ocorre a Bienal do Rio de Janeiro?,"A Bienal do Rio de Janeiro geralmente acontece em setembro. Para as datas exatas desta edicao, consulte www.bienaldorio.com.br."
quais autores ja foram convidados para a FLOR?,"A FLOR - Feira Literaria do Orgulho e Resistencia ja recebeu como convidados nomes como Conceicao Evaristo e Itamar Vieira Junior, entre outros autores. Os convidados de cada nova edicao sao anunciados em www.feiraflor.com.br."
em que rua fica a FLIP?,"O endereco da FLIP - Festa Literaria Internacional de Paraty e: Praca da Matriz, s/n - Centro Historico, Paraty (RJ) - CEP 23970-000 (Casa da Cultura de Paraty e espacos do centro historico). Para informacoes de transporte e estacionamento, consulte www.flip.org.br."
quais escritores foram homenageados pela Feira do Livro POA?,"A Feira do Livro de Porto Alegre ja prestou homenagem a grandes nomes da literatura, como Lya Luft, Josue Guimaraes e Rubem Alves. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.feiradolivro.com.br."
a Festa Literaria de Porto Alegre cobra entrada?,"Os precos dos ingressos da Festa Literaria de Porto Alegre variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em festaliterariaportaalegre.com.br."
tem bate-papo com autores na FLOR?,"A FLOR - Feira Literaria do Orgulho e Resistencia costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em www.feiraflor.com.br proximo ao evento."
onde acontece a Feira do Livro POA?,A Feira do Livro de Porto Alegre e realizada em Porto Alegre (RS) - Praca da Alfandega.
qual o endereco completo da Bienal Bahia?,"O endereco da Bienal do Livro Bahia e: Centro de Convencoes da Bahia - Av. Antonio Carlos Magalhaes, s/n - Stiep, Salvador (BA) - CEP 41770-019. Para informacoes de transporte e estacionamento, consulte www.bienaldolivrobahia.com.br."
quero saber tudo sobre a FLIC,"A FLIC - Festa Literaria de Belo Horizonte e um festival mineiro com forte identidade cultural, promovendo debates, oficinas e lancamentos de livros. Ocorre em junho em Belo Horizonte (MG). Mais informacoes em www.flicbh.com.br."
vale a pena ir na Festa Literaria POA?,"Com certeza! A Festa Literaria de Porto Alegre e um dos principais eventos literarios do Sul do Brasil, com intensa programacao de autores regionais e nacionais. Confira a programacao em festaliterariaportaalegre.com.br e planeje sua visita."
bom dia,"Ola! Sou o ChatLitera, seu guia sobre feiras literarias brasileiras. Posso ajudar com datas, locais, programacao, ingressos e muito mais. O que voce quer saber?"
onde acontece a Bienal Rio?,A Bienal do Rio de Janeiro e realizada em Rio de Janeiro (RJ) - Riocentro.
onde e realizada a Feira do Livro de Porto Alegre?,A Feira do Livro de Porto Alegre e realizada em Porto Alegre (RS) - Praca da Alfandega.
me fale sobre a Bienal Rio,"A Bienal do Rio de Janeiro e um dos eventos mais aguardados do Rio, com lancamentos exclusivos e encontros com grandes autores brasileiros e internacionais. Acesse www.bienaldorio.com.br para mais informacoes."
qual o endereco completo da Bienal PE?,"O endereco da Bienal Internacional do Livro de Pernambuco e: Centro de Convencoes de Pernambuco - Complexo Viario Via Expressa, s/n - Camaragibe (PE) - CEP 54768-000. Para informacoes de transporte e estacionamento, consulte www.bienaldolivrope.com.br."
quais escritores foram homenageados pela Bienal do Livro SP?,"A Bienal Internacional do Livro de Sao Paulo ja prestou homenagem a grandes nomes da literatura, como Jorge Amado, Clarice Lispector e Ariano Suassuna. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.bienaldolivro.com.br."
vale a pena ir na Bienal PE?,"Com certeza! A Bienal Internacional do Livro de Pernambuco e um dos grandes festivais do livro no coracao do Nordeste, destacando autores regionais e internacionais com rica programacao cultural. Confira a programacao em www.bienaldolivrope.com.br e planeje sua visita."
